datetime,open,high,low,close,volumns
2022-01-03 00:00:00,3.251,3.252,3.133,3.194,43449098.9
2022-01-04 00:00:00,3.195,3.259,3.141,3.167,53181739.1
2022-01-05 00:00:00,3.166,3.234,2.775,2.894,81145598.6
2022-01-06 00:00:00,2.895,2.936,2.808,2.92,61449215.1
2022-01-07 00:00:00,2.92,2.927,2.698,2.838,98945657.4
2022-01-08 00:00:00,2.839,2.897,2.663,2.75,58877107
2022-01-09 00:00:00,2.749,2.841,2.736,2.792,38726897.5
2022-01-10 00:00:00,2.792,2.824,2.572,2.7,87235989.5
2022-01-11 00:00:00,2.7,2.8,2.686,2.768,49886452
2022-01-12 00:00:00,2.767,2.911,2.761,2.885,45456238.2
2022-01-13 00:00:00,2.885,2.904,2.781,2.79,40441818.7
2022-01-14 00:00:00,2.79,2.929,2.769,2.861,55378023.3
2022-01-15 00:00:00,2.86,2.954,2.844,2.909,45126171.8
2022-01-16 00:00:00,2.908,2.948,2.861,2.903,34230988.2
2022-01-17 00:00:00,2.904,2.908,2.774,2.83,48495937.4
2022-01-18 00:00:00,2.83,2.936,2.744,2.823,75336540.3
2022-01-19 00:00:00,2.824,2.873,2.701,2.738,60320949.7
2022-01-20 00:00:00,2.736,2.855,2.613,2.632,50369044.3
2022-01-21 00:00:00,2.632,2.666,2.291,2.368,133879866.3
2022-01-22 00:00:00,2.367,2.432,2.003,2.22,200067140.8
2022-01-23 00:00:00,2.22,2.29,2.157,2.271,80406851.9
2022-01-24 00:00:00,2.271,2.273,1.989,2.195,129375563.8
2022-01-25 00:00:00,2.196,2.235,2.155,2.223,62922104.3
2022-01-26 00:00:00,2.223,2.382,2.181,2.211,86121228.3
2022-01-27 00:00:00,2.211,2.246,2.122,2.221,73630788.3
2022-01-28 00:00:00,2.222,2.32,2.18,2.307,66817839.2
2022-01-29 00:00:00,2.307,2.381,2.285,2.336,40583947.2
2022-01-30 00:00:00,2.335,2.367,2.259,2.315,40875183
2022-01-31 00:00:00,2.315,2.348,2.204,2.335,56828406.4
2022-02-01 00:00:00,2.335,2.371,2.308,2.353,45583005
2022-02-02 00:00:00,2.353,2.456,2.258,2.275,70976747.8
2022-02-03 00:00:00,2.275,2.311,2.227,2.309,54711355.7
2022-02-04 00:00:00,2.309,2.486,2.288,2.48,72699613.6
2022-02-05 00:00:00,2.48,2.528,2.441,2.476,48043826.4
2022-02-06 00:00:00,2.475,2.549,2.429,2.536,40909035.9
2022-02-07 00:00:00,2.536,2.719,2.488,2.695,74092530.6
2022-02-08 00:00:00,2.694,2.767,2.54,2.63,71365428
2022-02-09 00:00:00,2.629,2.698,2.585,2.668,44383753
2022-02-10 00:00:00,2.669,2.766,2.543,2.547,76512427.2
2022-02-11 00:00:00,2.547,2.599,2.381,2.411,63288617.9
2022-02-12 00:00:00,2.411,2.434,2.327,2.395,47158615.9
2022-02-13 00:00:00,2.395,2.43,2.346,2.377,33710582.6
2022-02-14 00:00:00,2.378,2.394,2.306,2.368,38634343.1
2022-02-15 00:00:00,2.369,2.537,2.362,2.529,36541488.4
